sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mesano_cnm1,mesano_sent,casos_novos_2026,julgados_2026,prim_sent2026,suspensos_2026,dessobrestados_2026,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Abr 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Ago 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Ago 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Dez 2019",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Dez 2020",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Dez 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Dez 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Dez 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Dez 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Fev 2022",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Fev 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Fev 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Fev 2026",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Jan 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Jan 2026",0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Jul 2019",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Jun 2019",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Jun 2020",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-AP","Conhecimento criminal","Justiça Eleitoral","G1","AP","MACAPA",51251,"2ª ZONA ELEITORAL - MACAPÁ- AP - ZONA SUL","Dez 2025","Jun 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
